Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Methotrexate,1008,JHH-4,1240158,LIHC,digestive_system,liver,-0.958833378093831,0.765391236363529,1,0.0949977373047554,-0.526191600048619,GDSC2
Methotrexate,1008,JHH-6,1240159,LIHC,digestive_system,liver,-0.898828887147685,0.755637092193886,1,0.121557397338435,-0.502108495648022,GDSC2
Methotrexate,1008,JHH-7,1240160,LIHC,digestive_system,liver,-0.993084403220576,0.758034433928633,1,0.0928739976840608,-0.539938421343965,GDSC2
Methotrexate,1008,SNU-398,1240217,LIHC,digestive_system,liver,-3.70621263621826,0.469189605433189,1,0.162081666775214,-1.62886609087678,GDSC2
Methotrexate,1008,huH-1,1298146,LIHC,digestive_system,liver,2.17725440041905,0.944428493748813,1,0.0614879906401713,0.732493011527306,GDSC2
Methotrexate,1008,JHH-1,1298151,LIHC,digestive_system,liver,1.63602741939229,0.937536985459822,1,0.128373181853449,0.515268839086854,GDSC2
Tretinoin,1009,Hep3B2-1-7,1240147,LIHC,digestive_system,liver,4.9578865959704,0.988637616505677,10,0.077355019101026,0.174000012097997,GDSC2
Gefitinib,1010,HLE,907057,LIHC,digestive_system,liver,3.89760708184805,0.984629714034615,2,0.0684413588084163,0.618600934351557,GDSC2
Gefitinib,1010,HuH-7,907071,LIHC,digestive_system,liver,4.45368047101644,0.983154310637612,2,0.0806403694269693,1.07718120158478,GDSC2
Gefitinib,1010,SK-HEP-1,909719,LIHC,digestive_system,liver,3.89770710658446,0.985797810927154,2,0.0647414001377761,0.618683422331098,GDSC2
Gefitinib,1010,SNU-387,909736,LIHC,digestive_system,liver,4.40764488707919,0.973531624305913,2,0.0576276892881326,1.03921676955945,GDSC2
Gefitinib,1010,SNU-423,909737,LIHC,digestive_system,liver,4.38715311278765,0.979893816256133,2,0.0824310640080726,1.02231769919619,GDSC2
Gefitinib,1010,SNU-449,909738,LIHC,digestive_system,liver,3.2224603494661,0.925969802784131,2,0.0763355571225095,0.0618237625102916,GDSC2
Gefitinib,1010,C3A,910850,LIHC,digestive_system,liver,4.52477849977675,0.965321926544516,2,0.0662063086179898,1.13581402535185,GDSC2
Gefitinib,1010,Hep3B2-1-7,1240147,LIHC,digestive_system,liver,2.15345063959293,0.966807886126582,2,0.0707066735887346,-0.819762675498718,GDSC2
Gefitinib,1010,JHH-2,1240157,LIHC,digestive_system,liver,4.09554856813392,0.977782914853228,2,0.0533618399001406,0.781838487965241,GDSC2
Gefitinib,1010,JHH-4,1240158,LIHC,digestive_system,liver,4.48673430141657,0.979632522444331,2,0.0924889022643303,1.10443989562271,GDSC2
Gefitinib,1010,JHH-6,1240159,LIHC,digestive_system,liver,4.01950480327386,0.962959523640319,2,0.0821760774349132,0.719127035322092,GDSC2
Gefitinib,1010,JHH-7,1240160,LIHC,digestive_system,liver,4.66005354105326,0.979467005177914,2,0.0600609257257716,1.24737207827601,GDSC2
Gefitinib,1010,SNU-398,1240217,LIHC,digestive_system,liver,3.89944864048099,0.980529782262685,2,0.0348479287308571,0.620119623190953,GDSC2
Gefitinib,1010,huH-1,1298146,LIHC,digestive_system,liver,4.27134423667115,0.974579519964048,2,0.0459959638710953,0.926812921603951,GDSC2
Gefitinib,1010,JHH-1,1298151,LIHC,digestive_system,liver,2.89285769420377,0.955168240701659,2,0.0493793836478526,-0.209991570996364,GDSC2
Navitoclax,1011,HLE,907057,LIHC,digestive_system,liver,1.33995718563151,0.827738262134559,10,0.100211146927197,-0.215017841746901,GDSC2
Navitoclax,1011,HuH-7,907071,LIHC,digestive_system,liver,0.9092606830094,0.779278510045572,10,0.0918080681759055,-0.427249191816112,GDSC2
Navitoclax,1011,SK-HEP-1,909719,LIHC,digestive_system,liver,2.02256358953169,0.879349246844059,10,0.118076897928993,0.121345415868716,GDSC2
Navitoclax,1011,SNU-387,909736,LIHC,digestive_system,liver,2.40230120669304,0.85252939947141,10,0.0844420244810407,0.308466106822947,GDSC2
Navitoclax,1011,SNU-423,909737,LIHC,digestive_system,liver,0.668547461632516,0.755065876927259,10,0.108026973733253,-0.545863788501492,GDSC2
Navitoclax,1011,SNU-449,909738,LIHC,digestive_system,liver,3.2650977294224,0.884258571069655,10,0.157525142358685,0.733620408608709,GDSC2
Navitoclax,1011,C3A,910850,LIHC,digestive_system,liver,4.88684497190531,0.948211470702937,10,0.0718796478655489,1.5327576308702,GDSC2
Navitoclax,1011,Hep3B2-1-7,1240147,LIHC,digestive_system,liver,0.614382690281287,0.889794537090521,10,0.0903247895479416,-0.572554189932839,GDSC2
Navitoclax,1011,JHH-2,1240157,LIHC,digestive_system,liver,2.2338351076833,0.872597309244193,10,0.0982885916249054,0.22545222717438,GDSC2
Navitoclax,1011,JHH-4,1240158,LIHC,digestive_system,liver,2.8910729029106,0.90185169672705,10,0.0737087579735323,0.549314770167877,GDSC2
Navitoclax,1011,JHH-6,1240159,LIHC,digestive_system,liver,6.494207531977,0.980662184201721,10,0.0365451459309868,2.32480661222454,GDSC2
Navitoclax,1011,JHH-7,1240160,LIHC,digestive_system,liver,0.389481490471007,0.725752887470341,10,0.0816842844692972,-0.683377205623311,GDSC2
Navitoclax,1011,SNU-398,1240217,LIHC,digestive_system,liver,2.86378329121422,0.915850157813726,10,0.0796704008221472,0.535867456112788,GDSC2
Navitoclax,1011,huH-1,1298146,LIHC,digestive_system,liver,3.66070217791334,0.930006505766065,10,0.0675978302582445,0.928559688787368,GDSC2
Navitoclax,1011,JHH-1,1298151,LIHC,digestive_system,liver,1.83549922792571,0.848913163357889,10,0.0773895537397527,0.0291669984175156,GDSC2
Vorinostat,1012,HLE,907057,LIHC,digestive_system,liver,2.47198058313977,0.881991496231174,10,0.0831674292933711,0.902729042292542,GDSC2
Vorinostat,1012,HuH-7,907071,LIHC,digestive_system,liver,2.47965672036444,0.863820535958293,10,0.19384762058057,0.909767860246614,GDSC2
Vorinostat,1012,SK-HEP-1,909719,LIHC,digestive_system,liver,1.49256505403858,0.80604089374015,10,0.249512038771871,0.00463050536517284,GDSC2
