sample,ploidy,cellularity
HRR226825,2,1
HRR226826,2,1
HRR226827,2,1
HRR226828,2,1
HRR226829,2,1
HRR226830,2,1
HRR226831,2,1
HRR226832,2,1
HRR226833,2,1
HRR226834,2,1
HRR226835,2,1
HRR226836,2,1
HRR226837,2,1
HRR226838,2,1
HRR226839,2,1
HRR226840,2,1
HRR226841,2,1
HRR226842,2,1
HRR226843,2,1
HRR226844,2,1
HRR226845,2,1
HRR226846,1.96,1
HRR226847,2,1
HRR226848,2,1
HRR226849,2,1
HRR226850,2,1
HRR226851,2,1
HRR226852,2,1
HRR226853,2,1
HRR226854,2,1
HRR226855,2,1
HRR226856,2,1
HRR226857,2,1
HRR226858,2,1
HRR226859,2,1
HRR226860,2,1
HRR226861,2,1
HRR226862,2,1
HRR226863,2,1
HRR226864,2,1
HRR226865,2,1
HRR226866,2,1
HRR226867,2,1
HRR226868,2,1
HRR226869,2,1
HRR226870,2,1
HRR226871,2,1
HRR226872,2,1
HRR226873,2,1
HRR226874,3,1
HRR226875,2,1
HRR226876,2,1
HRR226877,2,1
HRR226878,2,1
HRR226879,3,1
HRR226880,2,1
HRR226881,2,1
HRR226882,3.96,1
HRR226883,4.96,1
HRR226884,4,1
HRR226885,4.92,1
HRR226886,2,1
HRR226887,2,1
HRR226888,2,1
HRR226889,4,1
HRR226890,2,1
HRR226891,2,1
HRR226892,2,1
HRR226893,3.8,1
HRR226894,2,1
HRR226895,4,1
HRR226896,2,1
HRR226897,4,1
HRR226898,3,1
HRR226899,2,1
HRR226900,4,1
HRR226901,2,1
HRR226902,3,1
HRR226903,3.04,1
HRR226904,2,1
HRR226905,3.96,1
HRR226906,3.96,1
HRR226907,3,1
HRR226908,3.08,1
HRR226909,1.96,1
HRR226910,2,1
HRR226911,2,1
HRR226912,4.04,1
HRR226913,4,1
HRR226914,2,1
HRR226915,4,1
HRR226916,2,1
HRR226917,2,1
HRR226918,2,1
HRR226919,2,1
HRR226920,3,1
HRR226921,2,1
HRR226922,2,1
HRR226923,2,1
HRR226924,2,1
HRR226925,2,1
HRR226926,4,1
HRR226927,2,1
HRR226928,2,1
HRR226929,2,1
HRR226930,2,1
HRR226931,2,1
HRR226932,2,1
HRR226933,1.96,1
HRR226934,1.96,1
HRR226935,4,1
